A. orbigera,Ovoposicion o depredacion de A. Orbigera hacia C. Virdis
A. orbigera,Parasotoidismo 2 sobre A. Orbigera
Abejas nativas,Coffea
Abejas nativas,Apis mielifera
Apis mielifera,Abejas nativas
Apis mielifera,Coffea
Aranas,Aves y murcielagos
Aranas,Parasitoides 3
Aranas,herbivoros
Aves y murcielagos,H. hampei
Aves y murcielagos,Aranas
Aves y murcielagos,herbivoros
Azteca,Phoridae
Azteca,Pheidole ctp
Azteca,Pseudomyrmex spp
Azteca,consumo de secreciones de C. Virdis por parte de Azteca
Azteca,depredacion de Azteca sobre L. Coffeella
Azteca,inhibicion de azteca sobre parasitoidismo 1 sobre C. Virdis
Azteca,inhibicion de azteca sobre herbivoria sobre cafe
Azteca,inhibicion de azteca sobre penetracion de H. Hampei en cafe
Azteca,inhibicion de azteca sobre ovoposicion o depredacion de A. Orbigera hacia C. Virdis
Azteca,inhibicion de azteca sobre parasitoidismo 2 sobre A. Orbigera
C. virdis,Coffea
C. virdis,L. lecanii
C. virdis,Pheidole ctp
C. virdis,Pseudomyrmex spp
C. virdis,Ovoposicion o depredacion de A. Orbigera hacia C. Virdis
C. virdis,Parasitoidismo 1 sobre C. Virdis
C. virdis,consumo de secreciones de C. Virdis por parte de Azteca
Coffea,C. virdis
Coffea,H. vastatrix
Coffea,L. coffeella
Coffea,Abejas nativas
Coffea,Herbivoria sobre coffea
Coffea,Penetracion de H. Hampei en cafe
Coffea,Apis mielifera
consumo de secreciones de C. Virdis por parte de Azteca,Azteca
depredacion de Azteca sobre L. Coffeella,Azteca
depredacion de Azteca sobre L. Coffeella,L. coffeella
H. hampei,Aves y murcielagos
H. hampei,Pheidole ctp
H. hampei,Pheidole protensa
H. hampei,Pseudomyrmex spp
H. hampei,Wasmania auropunctata
H. hampei,Procryptocerus hylaeus
H. hampei,Penetracion de H. Hampei en cafe
H. vastatrix,Coffea
H. vastatrix,L. lecanii
Herbivoria sobre coffea,Coffea
Herbivoria sobre coffea,herbivoros
Herbivoria sobre coffea,inhibicion de azteca sobre herbivoria sobre cafe
herbivoros,Aves y murcielagos
herbivoros,Aranas
herbivoros,Parasitoides 3
herbivoros,Herbivoria sobre coffea
inhibicion de azteca sobre herbivoria sobre cafe,Herbivoria sobre coffea
inhibicion de azteca sobre ovoposicion o depredacion de A. Orbigera hacia C. Virdis,Ovoposicion o depredacion de A. Orbigera hacia C. Virdis
inhibicion de azteca sobre parasitoidismo 1 sobre C. Virdis,Parasitoidismo 1 sobre C. Virdis
inhibicion de azteca sobre parasitoidismo 2 sobre A. Orbigera,Parasotoidismo 2 sobre A. Orbigera
inhibicion de azteca sobre penetracion de H. Hampei en cafe,Penetracion de H. Hampei en cafe
L. coffeella,Coffea
L. coffeella,Pseudomyrmex spp
L. coffeella,depredacion de Azteca sobre L. Coffeella
L. lecanii,C. virdis
L. lecanii,H. vastatrix
Ovoposicion o depredacion de A. Orbigera hacia C. Virdis,C. virdis
Ovoposicion o depredacion de A. Orbigera hacia C. Virdis,A. orbigera
Ovoposicion o depredacion de A. Orbigera hacia C. Virdis,inhibicion de azteca sobre ovoposicion o depredacion de A. Orbigera hacia C. Virdis
Parasitoides 1,Parasitoidismo 1 sobre C. Virdis
Parasitoides 2,Parasotoidismo 2 sobre A. Orbigera
Parasitoides 3,Aranas
Parasitoides 3,herbivoros
Parasitoidismo 1 sobre C. Virdis,C. virdis
Parasitoidismo 1 sobre C. Virdis,Parasitoides 1
Parasitoidismo 1 sobre C. Virdis,inhibicion de azteca sobre parasitoidismo 1 sobre C. Virdis
Parasotoidismo 2 sobre A. Orbigera,A. orbigera
Parasotoidismo 2 sobre A. Orbigera,Parasitoides 2
Parasotoidismo 2 sobre A. Orbigera,inhibicion de azteca sobre parasitoidismo 2 sobre A. Orbigera
Penetracion de H. Hampei en cafe,H. hampei
Penetracion de H. Hampei en cafe,Coffea
Penetracion de H. Hampei en cafe,inhibicion de azteca sobre penetracion de H. Hampei en cafe
Pheidole ctp,Azteca
Pheidole ctp,H. hampei
Pheidole ctp,Pheidole protensa
Pheidole ctp,Pseudomyrmex spp
Pheidole ctp,Ovoposicion o depredacion de A. Orbigera hacia C. Virdis
Pheidole ctp,Parasitoidismo 1 sobre C. Virdis
Pheidole protensa,H. hampei
Pheidole protensa,Pheidole ctp
Phoridae,Azteca
Phoridae,consumo de secreciones de C. Virdis por parte de Azteca
Phoridae,depredacion de Azteca sobre L. Coffeella
Phoridae,inhibicion de azteca sobre parasitoidismo 1 sobre C. Virdis
Phoridae,inhibicion de azteca sobre herbivoria sobre cafe
Phoridae,inhibicion de azteca sobre penetracion de H. Hampei en cafe
Phoridae,inhibicion de azteca sobre ovoposicion o depredacion de A. Orbigera hacia C. Virdis
Phoridae,inhibicion de azteca sobre parasitoidismo 2 sobre A. Orbigera
Procryptocerus hylaeus,H. hampei
Pseudomyrmex spp,Azteca
Pseudomyrmex spp,C. virdis
Pseudomyrmex spp,H. hampei
Pseudomyrmex spp,L. coffeella
Pseudomyrmex spp,Pheidole ctp
Wasmania auropunctata,H. hampei
